"Order Notes and Files","Order Notes and Files"
"Field Alias","Field Alias"
"Field Label","Field Label"
"Field Type","Field Type"
"Enabled","Enabled"
"Show On Order Grid","Show On Order Grid"
"Attachment Field Information","Attachment Field Information"
"Manage Order Attachments","Manage Order Attachments"
"Add New Attachment Field","Add New Attachment Field"
"Text Field","Text Field"
"Text Area","Text Area"
"Single File Upload","Single File Upload"
"Multiple Files Upload","Multiple Files Upload"
"Date","Date"
"Dropdown","Dropdown"
"Do Not Display","Do Not Display"
"View Only","View Only"
"Allow To Edit","Allow To Edit"
"An error occurred while saving the file: ","An error occurred while saving the file: "
"System","System"
"Order Attachments","Order Attachments"
"Edit Attachment Field","Edit Attachment Field"
"This attachment field no longer exists.","This attachment field no longer exists."
"The attachment field has been saved.","The attachment field has been saved."
"An error occurred while saving the attachment field: ","An error occurred while saving the attachment field: "
"The attachment field has been deleted.","The attachment field has been deleted."
"Display To Customer","Display To Customer"
"Backend Status","Backend Status"
"Frontend Status","Frontend Status"
"Show On Grid","Show On Grid"
"Yes","Yes"
"No","No"
"Manage Fields","Manage Fields"
"Add New Field","Add New Field"
"Save Field","Save Field"
"Delete Field","Delete Field"
"Edit Field `%s`","Edit Field `%s`"
"New Field","New Field"
"Field Configuration","Field Configuration"
"General Information","General Information"
"Order Status Visibility","Order Status Visibility"
"Order Status For Backend","Order Status For Backend"
"Display field only if order status is one of the selected","Display field only if order status is one of the selected"
"Order Status For Frontend","Order Status For Frontend"
"Field Information","Field Information"
"Attachment Field Details","Attachment Field Details"
"Please use lowercase letters a-z and _ symbols only.","Please use lowercase letters a-z and _ symbols only."
"Default Value","Default Value"
"Will be automatically assigned to any new order placed.","Will be automatically assigned to any new order placed."
"Does not work for `file` attribute types.","Does not work for `file` attribute types."
"Label","Label"
"Alias","Alias"
"General Settings","General Settings"
"Collapsed by default","Collapsed by default"
"This sets how to show Order Notes and Files block on the order view page","This sets how to show Order Notes and Files block on the order view page"
"Update `updated_at` order field","Update `updated_at` order field"
"If set to `Yes`, the `updated_at` order field will be set to the current date/time when order note or file field value added or updated for particular order","If set to `Yes`, the `updated_at` order field will be set to the current date/time when order note or file field value added or updated for particular order"
"Actions","Actions"
"Edit Order Notes and Files","Edit Order Notes and Files"
"Add Option","Add Option"
"Save","Save"
"Cancel","Cancel"
"Delete","Delete"
"Upload","Upload"
"Please wait...","Please wait..."
"Field Name","Field Name"
"To be used in Email templates.","To be used in Email templates."