"Add to cart","Add to cart"
"Ajax Cart Configuration","Ajax Cart Configuration"
"Ajax Cart","Ajax Cart"
"Availability:","Availability:"
"Cancel","Cancel"
"Content of Success Message","Content of Success Message"
"Continue Shopping","Continue Shopping"
"Display Success Message","Display Success Message"
"Enable Ajax Cart","Enable Ajax Cart"
"Form key is not valid","Form key is not valid"
"General Settings","General Settings"
"In stock","In stock"
"MageBuzz Add-Ons","MageBuzz Add-Ons"
"My Cart (%d items)","My Cart (%d items)"
"No options of this product are available.","No options of this product are available."
"Out of stock","Out of stock"
"Price","Price"
"Product Name","Product Name"
"Qty","Qty"
"View Cart & Checkout","View Cart & Checkout"
"You have recently added this product to your Cart","You have recently added this product to your Cart"